control_id,control,expected,current,status,evidence
PMAI-P0-04-ARCI-V2-PREP-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,preparation document
PMAI-P0-04-ARCI-V2-PREP-CHK-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_PREPARATION_V1,PASS,preparation document
PMAI-P0-04-ARCI-V2-PREP-CHK-003,decision_commit,b5eaeb7b1a36b5fcb54734bda5886d93d56576e3,b5eaeb7b1a36b5fcb54734bda5886d93d56576e3,PASS,published baseline
PMAI-P0-04-ARCI-V2-PREP-CHK-004,decision_parent,992976b033f115f6872e53f9144c56387c4c4ecf,992976b033f115f6872e53f9144c56387c4c4ecf,PASS,published baseline
PMAI-P0-04-ARCI-V2-PREP-CHK-005,github_ci_gate_number,197,197,PASS,published CI
PMAI-P0-04-ARCI-V2-PREP-CHK-006,github_ci_gate_status,PASS,PASS,PASS,published CI
PMAI-P0-04-ARCI-V2-PREP-CHK-007,selected_route,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,ROUTE_B_REBUILD_CORRECTED_METADATA_INVESTIGATION_CHAIN_V2,PASS,governance decision
PMAI-P0-04-ARCI-V2-PREP-CHK-008,repository_only,true,true,PASS,scope
PMAI-P0-04-ARCI-V2-PREP-CHK-009,active_0010_count,0,0,PASS,repository guard
PMAI-P0-04-ARCI-V2-PREP-CHK-010,locked_runner_unchanged,true,true,PASS,hash guard
PMAI-P0-04-ARCI-V2-PREP-CHK-011,v1_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-ARCI-V2-PREP-CHK-012,v1_attempts_remaining,0,0,PASS,published evidence
PMAI-P0-04-ARCI-V2-PREP-CHK-013,v1_root_contract_resolved,false,false,PASS,published evidence
PMAI-P0-04-ARCI-V2-PREP-CHK-014,v1_predicate_gap_confirmed,true,true,PASS,published decision
PMAI-P0-04-ARCI-V2-PREP-CHK-015,actual_archive_cause_resolved,false,false,PASS,inference boundary
PMAI-P0-04-ARCI-V2-PREP-CHK-016,backup_corruption_established,false,false,PASS,inference boundary
PMAI-P0-04-ARCI-V2-PREP-CHK-017,v2_inert_design_created,true,true,PASS,package artifact
PMAI-P0-04-ARCI-V2-PREP-CHK-018,active_v2_investigator_created,false,false,PASS,inert suffix
PMAI-P0-04-ARCI-V2-PREP-CHK-019,v2_source_suffix,.py.txt,.py.txt,PASS,inert suffix
PMAI-P0-04-ARCI-V2-PREP-CHK-020,v2_source_hash,0d6303b0a5fc63d8231669b8a5d396d67b645120f9ac5421977cb79f3f6e8837,0d6303b0a5fc63d8231669b8a5d396d67b645120f9ac5421977cb79f3f6e8837,PASS,hash guard
PMAI-P0-04-ARCI-V2-PREP-CHK-021,v2_execution_enabled,false,false,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-022,v2_default_mode,CONTRACT_ONLY,CONTRACT_ONLY,PASS,source contract
PMAI-P0-04-ARCI-V2-PREP-CHK-023,v2_authorization_record,PENDING_SEPARATE_V2_AUTHORIZATION_REVIEW,PENDING_SEPARATE_V2_AUTHORIZATION_REVIEW,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-024,v2_source_executed,false,false,PASS,scope
PMAI-P0-04-ARCI-V2-PREP-CHK-025,v2_payload_read_allowed,false,false,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-026,v2_extraction_allowed,false,false,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-027,v2_archive_write_allowed,false,false,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-028,v2_automatic_retry_allowed,false,false,PASS,source literal
PMAI-P0-04-ARCI-V2-PREP-CHK-029,one_optional_leading_dot_allowed,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-030,directory_root_marker_allowed,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-031,internal_dot_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-032,parent_component_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-033,absolute_path_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-034,backslash_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-035,control_character_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-036,empty_component_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-037,drive_prefix_rejected,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-038,special_member_rejected_for_success,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-039,general_normpath_forbidden,true,true,PASS,predicate design
PMAI-P0-04-ARCI-V2-PREP-CHK-040,wrapped_root_classification,PG_DIRECTORY_ROOT_WRAPPED,PG_DIRECTORY_ROOT_WRAPPED,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-041,unwrapped_root_classification,PG_DIRECTORY_ROOT_UNWRAPPED,PG_DIRECTORY_ROOT_UNWRAPPED,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-042,toc_relation,IMMEDIATE_CHILD_OF_LOGICAL_ROOT,IMMEDIATE_CHILD_OF_LOGICAL_ROOT,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-043,toc_candidate_required,1,1,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-044,root_marker_maximum,1,1,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-045,duplicate_count_required,0,0,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-046,case_collision_required,0,0,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-047,violation_count_required,0,0,PASS,layout design
PMAI-P0-04-ARCI-V2-PREP-CHK-048,synthetic_fixture_count,13,13,PASS,synthetic model
PMAI-P0-04-ARCI-V2-PREP-CHK-049,synthetic_is_archive_evidence,false,false,PASS,inference boundary
PMAI-P0-04-ARCI-V2-PREP-CHK-050,synthetic_wrapped_canonical,PASS,PASS,PASS,synthetic model
PMAI-P0-04-ARCI-V2-PREP-CHK-051,synthetic_wrapped_leading_dot,PASS,PASS,PASS,synthetic model
PMAI-P0-04-ARCI-V2-PREP-CHK-052,synthetic_unwrapped_canonical,PASS,PASS,PASS,synthetic model
PMAI-P0-04-ARCI-V2-PREP-CHK-053,synthetic_unwrapped_leading_dot,PASS,PASS,PASS,synthetic model
