control_id,control,expected,current,status,evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,authorization review document
PMAI-P0-04-ARCI-V3-AUTH-CHK-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_AUTHORIZATION_REVIEW_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V3_AUTHORIZATION_REVIEW_V1,PASS,authorization review document
PMAI-P0-04-ARCI-V3-AUTH-CHK-003,entry_commit,0e6dfdd876227d88003bebc9edd966f0821c0b41,0e6dfdd876227d88003bebc9edd966f0821c0b41,PASS,published baseline
PMAI-P0-04-ARCI-V3-AUTH-CHK-004,entry_parent,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,98fe4d902d4b24bf13837aaf0ea7e5f7bdc9d1f3,PASS,published baseline
PMAI-P0-04-ARCI-V3-AUTH-CHK-005,github_ci_gate_number,202,202,PASS,published baseline
PMAI-P0-04-ARCI-V3-AUTH-CHK-006,github_ci_gate_status,PASS,PASS,PASS,published baseline
PMAI-P0-04-ARCI-V3-AUTH-CHK-007,selected_route,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,ROUTE_C_REBUILD_DEPTH_AWARE_METADATA_INVESTIGATION_CHAIN_V3,PASS,published preparation
PMAI-P0-04-ARCI-V3-AUTH-CHK-008,v3_preparation_complete,true,true,PASS,published preparation
PMAI-P0-04-ARCI-V3-AUTH-CHK-009,prepared_v3_source_hash,52fc4310065b0877152f592b4394c5f74d27e4812a6a30d71eb50cd94d0f4b55,52fc4310065b0877152f592b4394c5f74d27e4812a6a30d71eb50cd94d0f4b55,PASS,published preparation
PMAI-P0-04-ARCI-V3-AUTH-CHK-010,candidate_v3_source_hash,6800bc57c018ad17deb84b2c821baad4752e23f9aa432b01d64f9518737d5e14,6800bc57c018ad17deb84b2c821baad4752e23f9aa432b01d64f9518737d5e14,PASS,reviewed candidate
PMAI-P0-04-ARCI-V3-AUTH-CHK-011,candidate_source_suffix,.py.txt,.py.txt,PASS,reviewed candidate
PMAI-P0-04-ARCI-V3-AUTH-CHK-012,authorization_record_id,PMAI-P0-04-ARCI-V3-AUTH-V1-20260813,PMAI-P0-04-ARCI-V3-AUTH-V1-20260813,PASS,authorization review
PMAI-P0-04-ARCI-V3-AUTH-CHK-013,authorization_scope_recorded,true,true,PASS,authorization review
PMAI-P0-04-ARCI-V3-AUTH-CHK-014,current_v3_investigation_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-015,post_effective_gate_v3_investigation_authorized,true,true,PASS,proposed authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-016,v3_investigation_execution_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-017,v3_archive_listing_attempt_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-018,one_time_execution_confirmation_present,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-019,v1_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-020,v2_attempts_consumed,1,1,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-021,cumulative_attempts_consumed,2,2,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-022,v3_attempt_budget,1,1,PASS,proposed authorization
PMAI-P0-04-ARCI-V3-AUTH-CHK-023,v3_attempts_consumed,0,0,PASS,proposed authorization
PMAI-P0-04-ARCI-V3-AUTH-CHK-024,v3_attempts_remaining_current,0,0,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-025,v3_attempts_remaining_post_effective_gate,1,1,PASS,proposed authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-026,v3_attempt_number,1,1,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-027,cumulative_attempt_number_if_executed,3,3,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-028,automatic_retry_allowed,false,false,PASS,attempt contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-029,manual_retry_allowed,false,false,PASS,attempt contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-030,authorization_reuse_allowed,false,false,PASS,attempt contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-031,root_contract_resolved,false,false,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-032,toc_dat_presence_established,true,true,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-033,actual_archive_layout_cause_resolved,false,false,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-034,backup_corruption_established,false,false,PASS,published evidence
PMAI-P0-04-ARCI-V3-AUTH-CHK-035,archive_hash_recheck_required,true,true,PASS,identity binding
PMAI-P0-04-ARCI-V3-AUTH-CHK-036,candidate_default_mode,CONTRACT_ONLY_NO_ARCHIVE_OPEN,CONTRACT_ONLY_NO_ARCHIVE_OPEN,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-037,candidate_execute_flag_required,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-038,candidate_authorization_record_required,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-039,candidate_archive_hash_confirmation_required,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-040,candidate_v3_attempt_confirmation_required,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-041,candidate_cumulative_attempt_confirmation_required,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-042,candidate_path_input_hidden,true,true,PASS,candidate contract
PMAI-P0-04-ARCI-V3-AUTH-CHK-043,candidate_repository_executable,false,false,PASS,candidate storage
PMAI-P0-04-ARCI-V3-AUTH-CHK-044,candidate_executed_by_ci,false,false,PASS,candidate storage
PMAI-P0-04-ARCI-V3-AUTH-CHK-045,candidate_executed_by_package,false,false,PASS,candidate storage
PMAI-P0-04-ARCI-V3-AUTH-CHK-046,candidate_activation_authorized,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-047,candidate_executed,false,false,PASS,current authority
PMAI-P0-04-ARCI-V3-AUTH-CHK-048,candidate_execution_gate_literal,true,true,PASS,static review
PMAI-P0-04-ARCI-V3-AUTH-CHK-049,member_payload_read_allowed,false,false,PASS,operation boundary
PMAI-P0-04-ARCI-V3-AUTH-CHK-050,member_extraction_allowed,false,false,PASS,operation boundary
PMAI-P0-04-ARCI-V3-AUTH-CHK-051,archive_write_allowed,false,false,PASS,operation boundary
PMAI-P0-04-ARCI-V3-AUTH-CHK-052,archive_copy_allowed,false,false,PASS,operation boundary
PMAI-P0-04-ARCI-V3-AUTH-CHK-053,archive_upload_allowed,false,false,PASS,operation boundary
PMAI-P0-04-ARCI-V3-AUTH-CHK-054,archive_repackage_allowed,false,false,PASS,operation boundary
