control_id,control,expected,current,status,evidence_source,hard_stop_if
PMAI-P0-04-ARCI-V2-EXEC-EVID-001,stage_id,PMAI-P0-04,PMAI-P0-04,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-002,substage,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_EXECUTION_EVIDENCE_V1,ARCHIVE_ROOT_CONTRACT_INVESTIGATION_V2_EXECUTION_EVIDENCE_V1,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-003,authorization_review_commit,9f00393543ec435353d5deadc6c74972aed4f6c2,9f00393543ec435353d5deadc6c74972aed4f6c2,PASS,operator_git_output,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-004,github_ci_gate_number,199,199,PASS,github_ci_screenshot,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-005,github_ci_gate_status,PASS,PASS,PASS,github_ci_screenshot,not_pass
PMAI-P0-04-ARCI-V2-EXEC-EVID-006,repository_clean_before_investigation,true,true,PASS,operator_preflight,false
PMAI-P0-04-ARCI-V2-EXEC-EVID-007,repository_clean_after_investigation,true,true,PASS,operator_terminal_output,false
PMAI-P0-04-ARCI-V2-EXEC-EVID-008,authorization_record_id,PMAI-P0-04-ARCI-V2-AUTH-V1-20260812,PMAI-P0-04-ARCI-V2-AUTH-V1-20260812,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-009,evidence_record_id,PMAI-P0-04-ARCI-V2-EXEC-EVID-V1-20260812,PMAI-P0-04-ARCI-V2-EXEC-EVID-V1-20260812,PASS,evidence_document,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-010,v2_attempt_number,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-011,cumulative_archive_listing_attempt_number,2,2,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-012,investigation_exit_code,0,0,PASS,operator_terminal_output,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-013,investigation_process_completed,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-V2-EXEC-EVID-014,v1_archive_listing_attempts_consumed,1,1,PASS,prior_evidence,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-015,v2_archive_listing_attempt_budget,1,1,PASS,authorization_record,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-016,v2_archive_listing_attempts_consumed,1,1,PASS,completed_metadata_scan,not_one
PMAI-P0-04-ARCI-V2-EXEC-EVID-017,v2_archive_listing_attempts_remaining,0,0,PASS,evidence_decision,not_zero
PMAI-P0-04-ARCI-V2-EXEC-EVID-018,cumulative_archive_listing_attempts_consumed,2,2,PASS,evidence_decision,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-019,cumulative_archive_listing_attempts_remaining,0,0,PASS,evidence_decision,not_zero
PMAI-P0-04-ARCI-V2-EXEC-EVID-020,automatic_retry,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-021,manual_retry_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-022,additional_archive_listing_attempt_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-023,authorization_reuse_allowed,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-024,approved_archive_sha256_match,true,true,PASS,sanitized_result,false
PMAI-P0-04-ARCI-V2-EXEC-EVID-025,investigation_implementation_sha256,ce4b0fc1421624b29309f8eeae750d712601821529102620faf5c1b2b75be4f6,ce4b0fc1421624b29309f8eeae750d712601821529102620faf5c1b2b75be4f6,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-026,outer_container_classification,GZIP_TAR,GZIP_TAR,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-027,archive_member_count,29,29,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-028,archive_uncompressed_size_bytes,196874,196874,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-029,regular_file_count,26,26,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-030,directory_entry_count,3,3,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-031,unsafe_or_special_member_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-032,accepted_canonical_relative_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-033,accepted_leading_dot_prefix_count,28,28,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-034,accepted_root_marker_count,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-035,normalized_path_violation_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-036,duplicate_normalized_member_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-037,case_collision_count,0,0,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-038,leading_dot_prefix_member_count,28,28,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-039,root_marker_count,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-040,toc_dat_candidate_count,1,1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-041,toc_dat_relation_category,NONE_OR_AMBIGUOUS,NONE_OR_AMBIGUOUS,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-042,root_layout_classification,NONE_OR_AMBIGUOUS,NONE_OR_AMBIGUOUS,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-043,all_members_contained_by_logical_root,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-044,wrapper_depth,-1,-1,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-045,root_contract_resolved,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-046,stop_code,V2_STRUCTURAL_PREDICATE_MISMATCH,V2_STRUCTURAL_PREDICATE_MISMATCH,PASS,sanitized_result,mismatch
PMAI-P0-04-ARCI-V2-EXEC-EVID-047,decision,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,HOLD_PMAI_P0_04_ARCHIVE_ROOT_CONTRACT_UNRESOLVED,PASS,sanitized_result,not_hold
PMAI-P0-04-ARCI-V2-EXEC-EVID-048,investigation_member_payload_read,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-049,investigation_backup_archive_extracted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-050,investigation_backup_archive_modified,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-051,investigation_raw_member_names_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-052,investigation_raw_external_path_emitted,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-053,investigation_restore_execution,false,false,PASS,sanitized_result,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-054,backup_corruption_established,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-055,v2_structural_predicate_mismatch_cause_resolved,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-056,toc_dat_logical_depth_established,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-057,mixed_top_level_layout_established,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-058,deep_wrapper_layout_established,false,false,PASS,evidence_interpretation,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-059,package_archive_file_opened,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-060,package_backup_archive_listing_invoked,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-061,package_backup_archive_member_headers_read,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-062,new_investigator_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-063,database_connection,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-064,render_target_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-065,restore_runner_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-066,restore_execution,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-067,migration_created,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-068,application_deployment,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-069,resource_deleted,false,false,PASS,repository_package,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-070,backup_restoreability_verified,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-071,p0_04_execution_authorized,false,false,PASS,evidence_decision,true
PMAI-P0-04-ARCI-V2-EXEC-EVID-072,staging_0010_apply_authorized,false,false,PASS,evidence_decision,true
